Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date",Time,"Avg IV"
XLC|20210219|35.00C,XLC,35.00,+51.80%,35.00,37.50,40.00,0.00,0.00,unch,0,0,0.00,459.24%,Call,8,02/19/21,N/A,18.92%
XLC|20210219|40.00C,XLC,40.00,+44.91%,30.00,32.50,35.00,26.35,-0.42,-1.57%,1,1,1.00,390.81%,Call,8,02/19/21,01/19/21,18.92%
XLC|20210219|45.00C,XLC,45.00,+38.03%,25.00,27.50,30.00,0.00,0.00,unch,0,0,0.00,330.46%,Call,8,02/19/21,N/A,18.92%
XLC|20210219|50.00C,XLC,50.00,+31.14%,20.10,22.55,25.00,15.64,0.27,+1.76%,5,5,1.00,275.97%,Call,8,02/19/21,01/13/21,18.92%
XLC|20210219|53.00C,XLC,53.00,+27.01%,17.10,19.55,22.00,0.00,0.00,unch,0,0,0.00,245.39%,Call,8,02/19/21,N/A,18.92%
XLC|20210219|54.00C,XLC,54.00,+25.63%,16.10,18.55,21.00,11.56,-1.24,-9.69%,4,2,2.00,235.48%,Call,8,02/19/21,01/15/21,18.92%
XLC|20210219|55.00C,XLC,55.00,+24.25%,15.10,17.55,20.00,0.00,0.00,unch,0,0,0.00,225.69%,Call,8,02/19/21,N/A,18.92%
XLC|20210219|56.00C,XLC,56.00,+22.88%,14.10,16.55,19.00,9.80,9.80,unch,3,3,1.00,216.02%,Call,8,02/19/21,01/14/21,18.92%
XLC|20210219|57.00C,XLC,57.00,+21.50%,13.10,15.55,18.00,0.00,0.00,unch,0,0,0.00,206.44%,Call,8,02/19/21,N/A,18.92%
XLC|20210219|58.00C,XLC,58.00,+20.12%,12.40,14.40,16.40,9.30,9.30,unch,8,8,1.00,174.85%,Call,8,02/19/21,12/18/20,18.92%
XLC|20210219|59.00C,XLC,59.00,+18.74%,11.10,13.50,15.90,9.90,2.70,+37.50%,1,5,0.20,184.06%,Call,8,02/19/21,01/22/21,18.92%
XLC|20210219|59.50C,XLC,59.50,+18.06%,11.10,13.55,16.00,0.00,0.00,unch,0,0,0.00,101.59%,Call,8,02/19/21,N/A,18.92%
XLC|20210219|60.00C,XLC,60.00,+17.37%,10.10,12.55,15.00,10.20,0.25,+2.51%,6,16,0.38,178.18%,Call,8,02/19/21,02/04/21,18.92%
XLC|20210219|60.50C,XLC,60.50,+16.68%,9.60,12.05,14.50,0.00,0.00,unch,0,0,0.00,173.53%,Call,8,02/19/21,N/A,18.92%
XLC|20210219|61.00C,XLC,61.00,+15.99%,9.00,10.85,12.70,6.50,-0.40,-5.80%,2,2,1.00,122.39%,Call,8,02/19/21,01/29/21,18.92%
XLC|20210219|61.50C,XLC,61.50,+15.30%,8.50,10.90,13.30,7.70,0.70,+10.00%,2,2,1.00,157.73%,Call,8,02/19/21,01/21/21,18.92%
XLC|20210219|62.00C,XLC,62.00,+14.61%,9.30,10.75,12.20,8.28,-0.22,-2.59%,1,18,0.06,63.90%,Call,8,02/19/21,02/04/21,18.92%
XLC|20210219|62.50C,XLC,62.50,+13.92%,7.60,10.05,12.50,0.00,0.00,unch,0,0,0.00,154.99%,Call,8,02/19/21,N/A,18.92%
XLC|20210219|63.00C,XLC,63.00,+13.24%,8.80,10.35,11.90,6.30,0.23,+3.79%,85,58,1.47,92.86%,Call,8,02/19/21,01/21/21,18.92%
XLC|20210219|63.50C,XLC,63.50,+12.55%,6.70,9.10,11.50,0.00,0.00,unch,0,0,0.00,145.75%,Call,8,02/19/21,N/A,18.92%
XLC|20210219|64.00C,XLC,64.00,+11.86%,6.90,8.95,11.00,4.28,0.28,+7.00%,1,42,0.02,66.95%,Call,8,02/19/21,02/01/21,18.92%
XLC|20210219|64.50C,XLC,64.50,+11.17%,6.00,8.30,10.60,4.57,1.27,+38.48%,1,3,0.33,54.52%,Call,8,02/19/21,01/20/21,18.92%
XLC|20210219|65.00C,XLC,65.00,+10.48%,7.10,8.20,9.30,7.20,0.66,+10.09%,1,111,0.01,110.85%,Call,8,02/19/21,02/10/21,18.92%
XLC|20210219|65.50C,XLC,65.50,+9.79%,4.50,6.95,9.40,4.63,2.68,+137.44%,1,1,1.00,124.32%,Call,8,02/19/21,01/28/21,18.92%
XLC|20210219|66.00C,XLC,66.00,+9.10%,4.10,6.55,9.00,6.30,0.78,+14.13%,10,89,0.11,122.53%,Call,8,02/19/21,02/09/21,18.92%
XLC|20210219|66.50C,XLC,66.50,+8.41%,5.10,6.85,8.60,3.60,-0.83,-18.74%,1,97,0.01,67.60%,Call,8,02/19/21,01/28/21,18.92%
XLC|20210219|67.00C,XLC,67.00,+7.73%,4.40,5.60,6.80,5.01,0.74,+17.33%,3,138,0.02,78.62%,Call,8,02/19/21,02/10/21,18.92%
XLC|20210219|67.50C,XLC,67.50,+7.04%,5.00,5.95,6.90,3.90,0.76,+24.20%,5,34,0.15,63.56%,Call,8,02/19/21,02/05/21,18.92%
XLC|20210219|68.00C,XLC,68.00,+6.35%,4.00,5.10,6.20,3.55,1.10,+44.90%,1,210,0.00,47.80%,Call,8,02/19/21,02/05/21,18.92%
XLC|20210219|68.50C,XLC,68.50,+5.66%,3.10,4.30,5.50,4.00,1.18,+41.84%,1,17,0.06,71.91%,Call,8,02/19/21,02/10/21,18.92%
XLC|20210219|69.00C,XLC,69.00,+4.97%,3.00,4.10,5.20,3.78,0.67,+21.54%,2,110,0.02,27.92%,Call,8,02/19/21,02/10/21,18.92%
XLC|20210219|69.50C,XLC,69.50,+4.28%,2.60,3.40,4.20,3.31,1.01,+43.91%,3,9,0.33,26.42%,Call,8,02/19/21,02/10/21,18.92%
XLC|20210219|70.00C,XLC,70.00,+3.59%,2.20,3.20,4.20,2.00,0.05,+2.56%,104,237,0.44,36.62%,Call,8,02/19/21,02/08/21,18.92%
XLC|20210219|70.50C,XLC,70.50,+2.91%,2.20,2.65,3.10,2.35,0.43,+22.40%,2,13,0.15,21.72%,Call,8,02/19/21,02/10/21,18.92%
XLC|20210219|71.00C,XLC,71.00,+2.22%,1.65,2.18,2.70,1.98,0.52,+35.62%,5,33,0.15,22.43%,Call,8,02/19/21,02/10/21,18.92%
XLC|20210219|71.50C,XLC,71.50,+1.53%,1.30,1.73,2.15,1.65,0.48,+41.03%,3,9,0.33,23.12%,Call,8,02/19/21,02/10/21,18.92%
XLC|20210219|72.00C,XLC,72.00,+0.84%,0.90,1.33,1.75,1.20,0.20,+20.00%,30,442,0.07,19.86%,Call,8,02/19/21,02/10/21,18.92%
XLC|20210219|72.50C,XLC,72.50,+0.15%,0.70,1.05,1.40,0.75,0.08,+11.94%,5,6,0.83,15.94%,Call,8,02/19/21,02/10/21,18.92%
XLC|20210219|73.00C,XLC,73.00,-0.54%,0.45,0.70,0.95,0.68,0.18,+36.00%,1,226,0.00,19.82%,Call,8,02/19/21,02/10/21,18.92%
XLC|20210219|73.50C,XLC,73.50,-1.23%,0.25,0.48,0.70,0.30,0.05,+20.00%,1,4,0.25,14.91%,Call,8,02/19/21,02/10/21,18.92%
XLC|20210219|74.00C,XLC,74.00,-1.91%,0.15,0.22,0.30,0.25,0.17,+212.50%,1,6,0.17,17.15%,Call,8,02/19/21,02/10/21,18.92%
XLC|20210219|75.00C,XLC,75.00,-3.29%,0.05,0.20,0.35,0.11,0.06,+120.00%,2,1,2.00,21.79%,Call,8,02/19/21,02/09/21,18.92%
XLC|20210219|76.00C,XLC,76.00,-4.67%,0.05,0.08,0.10,0.10,0.09,+900.00%,2,4,0.50,0.00%,Call,8,02/19/21,01/27/21,18.92%
XLC|20210219|77.00C,XLC,77.00,-6.05%,0.00,0.13,0.25,0.00,0.00,unch,0,0,0.00,0.00%,Call,8,02/19/21,N/A,18.92%
XLC|20210219|78.00C,XLC,78.00,-7.42%,0.00,0.28,0.55,0.00,0.00,unch,0,0,0.00,0.00%,Call,8,02/19/21,N/A,18.92%
XLC|20210219|79.00C,XLC,79.00,-8.80%,0.00,0.28,0.55,0.00,0.00,unch,0,0,0.00,0.00%,Call,8,02/19/21,N/A,18.92%
XLC|20210219|80.00C,XLC,80.00,-10.18%,0.00,0.25,0.50,0.00,0.00,unch,0,0,0.00,0.00%,Call,8,02/19/21,N/A,18.92%
XLC|20210219|81.00C,XLC,81.00,-11.55%,0.00,0.08,0.15,0.04,0.04,unch,20,20,1.00,0.00%,Call,8,02/19/21,12/23/20,18.92%
XLC|20210219|85.00C,XLC,85.00,-17.06%,0.00,0.13,0.25,0.00,0.00,unch,0,0,0.00,0.00%,Call,8,02/19/21,N/A,18.92%
XLC|20210219|35.00P,XLC,35.00,-51.80%,0.00,0.13,0.25,0.00,0.00,unch,0,0,0.00,0.00%,Put,8,02/19/21,N/A,18.92%
XLC|20210219|40.00P,XLC,40.00,-44.91%,0.00,0.25,0.50,0.00,0.00,unch,0,0,0.00,0.00%,Put,8,02/19/21,N/A,18.92%
XLC|20210219|45.00P,XLC,45.00,-38.03%,0.00,0.13,0.25,0.05,-0.05,-50.00%,10,20,0.50,0.00%,Put,8,02/19/21,01/15/21,18.92%
XLC|20210219|50.00P,XLC,50.00,-31.14%,0.05,0.28,0.50,0.00,0.00,unch,0,0,0.00,0.00%,Put,8,02/19/21,N/A,18.92%
XLC|20210219|53.00P,XLC,53.00,-27.01%,0.05,0.15,0.25,0.00,0.00,unch,0,10,0.00,0.00%,Put,8,02/19/21,N/A,18.92%
XLC|20210219|54.00P,XLC,54.00,-25.63%,0.10,0.30,0.50,0.25,-0.20,-44.44%,2,2,1.00,0.00%,Put,8,02/19/21,01/05/21,18.92%
XLC|20210219|55.00P,XLC,55.00,-24.25%,0.05,0.13,0.20,0.22,0.18,+450.00%,2,403,0.00,0.00%,Put,8,02/19/21,02/08/21,18.92%
XLC|20210219|56.00P,XLC,56.00,-22.88%,0.05,0.25,0.45,0.00,0.00,unch,0,0,0.00,0.00%,Put,8,02/19/21,N/A,18.92%
XLC|20210219|57.00P,XLC,57.00,-21.50%,0.05,0.15,0.25,0.06,-0.34,-85.00%,3,36,0.08,0.00%,Put,8,02/19/21,02/03/21,18.92%
XLC|20210219|58.00P,XLC,58.00,-20.12%,0.10,0.18,0.25,0.01,-0.19,-95.00%,6,25,0.24,0.00%,Put,8,02/19/21,02/04/21,18.92%
XLC|20210219|59.00P,XLC,59.00,-18.74%,0.05,0.18,0.30,0.06,-0.34,-85.00%,1,49,0.02,0.00%,Put,8,02/19/21,02/03/21,18.92%
XLC|20210219|59.50P,XLC,59.50,-18.06%,0.05,0.15,0.25,0.65,0.65,unch,327,327,1.00,0.00%,Put,8,02/19/21,01/29/21,18.92%
XLC|20210219|60.00P,XLC,60.00,-17.37%,0.05,0.15,0.25,0.05,-0.02,-28.57%,1,601,0.00,0.00%,Put,8,02/19/21,02/05/21,18.92%
XLC|20210219|60.50P,XLC,60.50,-16.68%,0.05,0.15,0.25,0.76,0.53,+230.43%,30,33,0.91,0.00%,Put,8,02/19/21,01/29/21,18.92%
XLC|20210219|61.00P,XLC,61.00,-15.99%,0.05,0.13,0.20,0.05,-0.05,-50.00%,1,59,0.02,0.00%,Put,8,02/19/21,02/05/21,18.92%
XLC|20210219|61.50P,XLC,61.50,-15.30%,0.05,0.15,0.25,0.10,-0.80,-88.89%,2,71,0.03,0.00%,Put,8,02/19/21,02/03/21,18.92%
XLC|20210219|62.00P,XLC,62.00,-14.61%,0.05,0.18,0.30,0.18,0.08,+80.00%,2,161,0.01,0.00%,Put,8,02/19/21,02/08/21,18.92%
XLC|20210219|62.50P,XLC,62.50,-13.92%,0.05,0.15,0.25,0.15,-0.95,-86.36%,4,31,0.13,0.00%,Put,8,02/19/21,02/03/21,18.92%
XLC|20210219|63.00P,XLC,63.00,-13.24%,0.05,0.15,0.25,0.05,-0.05,-50.00%,1,586,0.00,0.00%,Put,8,02/19/21,02/05/21,18.92%
XLC|20210219|63.50P,XLC,63.50,-12.55%,0.05,0.33,0.60,0.05,-0.10,-66.67%,1,1,1.00,0.00%,Put,8,02/19/21,02/05/21,18.92%
XLC|20210219|64.00P,XLC,64.00,-11.86%,0.05,0.15,0.25,0.05,0.00,unch,5,44,0.11,0.00%,Put,8,02/19/21,02/09/21,18.92%
XLC|20210219|64.50P,XLC,64.50,-11.17%,0.05,0.15,0.25,0.60,0.60,unch,1,1,1.00,0.00%,Put,8,02/19/21,01/20/21,18.92%
XLC|20210219|65.00P,XLC,65.00,-10.48%,0.05,0.15,0.25,0.05,-0.27,-84.38%,1,215,0.00,40.27%,Put,8,02/19/21,02/10/21,18.92%
XLC|20210219|65.50P,XLC,65.50,-9.79%,0.05,0.15,0.25,1.15,0.40,+53.33%,2,323,0.01,0.00%,Put,8,02/19/21,02/01/21,18.92%
XLC|20210219|66.00P,XLC,66.00,-9.10%,0.05,0.15,0.25,0.10,-0.02,-16.67%,1,366,0.00,44.59%,Put,8,02/19/21,02/08/21,18.92%
XLC|20210219|66.50P,XLC,66.50,-8.41%,0.05,0.10,0.15,0.15,-0.30,-66.67%,5,324,0.02,0.00%,Put,8,02/19/21,02/05/21,18.92%
XLC|20210219|67.00P,XLC,67.00,-7.73%,0.10,0.10,0.10,0.10,-0.23,-69.70%,5,52,0.10,0.00%,Put,8,02/19/21,02/09/21,18.92%
XLC|20210219|67.50P,XLC,67.50,-7.04%,0.05,0.10,0.15,0.10,-0.05,-33.33%,5,8,0.63,32.97%,Put,8,02/19/21,02/09/21,18.92%
XLC|20210219|68.00P,XLC,68.00,-6.35%,0.05,0.10,0.15,0.15,-0.90,-85.71%,1,17,0.06,30.35%,Put,8,02/19/21,02/08/21,18.92%
XLC|20210219|68.50P,XLC,68.50,-5.66%,0.05,0.13,0.20,0.20,0.05,+33.33%,1,14,0.07,33.29%,Put,8,02/19/21,02/10/21,18.92%
XLC|20210219|69.00P,XLC,69.00,-4.97%,0.05,0.23,0.40,0.19,-0.08,-29.63%,1,72,0.01,31.42%,Put,8,02/19/21,02/09/21,18.92%
XLC|20210219|69.50P,XLC,69.50,-4.28%,0.05,0.23,0.40,0.80,0.80,unch,1,1,1.00,28.31%,Put,8,02/19/21,02/03/21,18.92%
XLC|20210219|70.00P,XLC,70.00,-3.59%,0.10,0.30,0.50,0.29,-0.26,-47.27%,3,42,0.07,27.91%,Put,8,02/19/21,02/09/21,18.92%
XLC|20210219|70.50P,XLC,70.50,-2.91%,0.20,0.45,0.70,0.00,0.00,unch,0,0,0.00,29.18%,Put,8,02/19/21,N/A,18.92%
XLC|20210219|71.00P,XLC,71.00,-2.22%,0.25,0.45,0.65,0.47,-0.26,-35.62%,2,3,0.67,25.32%,Put,8,02/19/21,02/09/21,18.92%
XLC|20210219|71.50P,XLC,71.50,-1.53%,0.30,0.53,0.75,0.75,0.15,+25.00%,3,2,1.50,28.98%,Put,8,02/19/21,02/10/21,18.92%
XLC|20210219|72.00P,XLC,72.00,-0.84%,0.40,0.65,0.90,0.90,0.05,+5.88%,4,2,2.00,27.82%,Put,8,02/19/21,02/10/21,18.92%
XLC|20210219|72.50P,XLC,72.50,-0.15%,0.55,0.83,1.10,0.82,-0.78,-48.75%,2,2,1.00,20.60%,Put,8,02/19/21,02/10/21,18.92%
XLC|20210219|73.00P,XLC,73.00,+0.54%,0.70,1.03,1.35,1.03,-0.92,-47.18%,2,1,2.00,19.33%,Put,8,02/19/21,02/10/21,18.92%
XLC|20210219|73.50P,XLC,73.50,+1.23%,0.65,1.33,2.00,0.00,0.00,unch,0,0,0.00,18.91%,Put,8,02/19/21,N/A,18.92%
XLC|20210219|74.00P,XLC,74.00,+1.91%,0.05,2.03,4.00,0.00,0.00,unch,0,0,0.00,28.14%,Put,8,02/19/21,N/A,18.92%
XLC|20210219|75.00P,XLC,75.00,+3.29%,0.05,2.43,4.80,0.00,0.00,unch,0,2,0.00,14.66%,Put,8,02/19/21,N/A,18.92%
XLC|20210219|76.00P,XLC,76.00,+4.67%,1.00,3.45,5.90,0.00,0.00,unch,0,0,0.00,21.06%,Put,8,02/19/21,N/A,18.92%
XLC|20210219|77.00P,XLC,77.00,+6.05%,2.10,4.50,6.90,0.00,0.00,unch,0,0,0.00,28.89%,Put,8,02/19/21,N/A,18.92%
XLC|20210219|78.00P,XLC,78.00,+7.42%,3.10,5.55,8.00,0.00,0.00,unch,0,0,0.00,36.48%,Put,8,02/19/21,N/A,18.92%
XLC|20210219|79.00P,XLC,79.00,+8.80%,4.10,6.55,9.00,0.00,0.00,unch,0,0,0.00,41.17%,Put,8,02/19/21,N/A,18.92%
XLC|20210219|80.00P,XLC,80.00,+10.18%,5.60,7.80,10.00,14.65,14.65,unch,5,0,0.00,58.10%,Put,8,02/19/21,01/12/21,18.92%
XLC|20210219|81.00P,XLC,81.00,+11.55%,6.60,8.75,10.90,0.00,0.00,unch,0,0,0.00,60.85%,Put,8,02/19/21,N/A,18.92%
XLC|20210219|85.00P,XLC,85.00,+17.06%,10.00,12.40,14.80,0.00,0.00,unch,0,0,0.00,46.67%,Put,8,02/19/21,N/A,18.92%
"Downloaded from Barchart.com as of 02-10-2021 10:51pm CST"
